,cycle,meanV,meanI,meanT,maxcap
0,10.0,3.1220820809792844,2.6859711770169494,32.39803474576271,1.0
1,11.0,3.1174100569800567,2.6701485162877496,32.34785944919278,0.9999720930232558
2,12.0,3.1197705,2.6777311408787035,32.29228259259259,0.9999534883720931
3,13.0,3.113153258669166,2.697175957480412,32.25360509840675,0.9999451162790698
4,14.0,3.1191588824662815,2.666389994029865,32.3138148362235,0.9952651162790699
5,15.0,3.109841583411875,2.6978056973740805,32.236115928369465,0.9970976744186046
6,16.0,3.109495962441315,2.645074326591549,32.19112234741784,0.9977674418604652
7,17.0,3.1169688119738073,2.656968669979551,32.03177820392891,0.9981488372093024
8,18.0,3.1272777499999997,2.712761801910289,32.04614451923077,0.9983441860465118
9,19.0,3.108406463985033,2.688757953779233,32.07599008419083,0.9984186046511627
10,20.0,3.1006316666666667,2.707978848473783,32.066140917603,0.9984372093023257
11,21.0,3.114433289224953,2.7029264531862003,32.099442344045364,0.9984279069767442
12,22.0,3.1227269898430285,2.698200913761773,32.01426315789474,0.9983441860465118
13,23.0,3.110422265402844,2.6794852020654973,32.08397895734598,0.9983534883720929
14,24.0,3.1209420738636364,2.6713751744488636,32.13511619318182,0.9983441860465118
15,25.0,3.1070120476190475,2.7259176763742863,32.105780571428575,0.9983441860465118
16,26.0,3.109613055818354,2.647854819087985,32.12950028382214,0.9982418604651163
17,27.0,3.111897674418605,2.670328664528744,32.119098511627904,0.9982604651162791
18,28.0,3.1114505159474675,2.6825018096172606,32.180508536585364,0.998139534883721
19,29.0,3.1149905415499535,2.695807050123249,32.182580672268905,0.9980837209302326
20,30.0,3.1077000189393935,2.66620910420928,32.131576515151515,0.998027906976744
21,31.0,3.111706962616822,2.658912725190654,32.09791943925234,0.9980186046511629
22,32.0,3.1069355722326453,2.6413087354333955,31.96808686679174,0.9978139534883722
23,33.0,3.1118527462121213,2.6859880748178973,32.017583333333334,0.9976930232558141
24,34.0,3.115098864915572,2.6729605524067543,32.00683245778612,0.9976000000000002
25,35.0,3.117201634527089,2.6576232456942153,32.00241698806244,0.9975162790697675
26,36.0,3.1100186300093196,2.6853232344324325,32.00770950605778,0.9974325581395348
27,37.0,3.1219644359464627,2.6632792738154873,32.028917208413,0.9973302325581396
28,38.0,3.109757107981221,2.655147538140845,32.03136647887324,0.997218604651163
29,39.0,3.115015746061168,2.6524908714754396,32.01560926784059,0.9970511627906976
30,40.0,3.108901204933586,2.639324025995256,31.972240702087284,0.9969302325581396
31,41.0,3.1281164581416747,2.74040678499632,32.064456485740564,0.9967348837209303
32,42.0,3.1186383650190117,2.6912560349774712,32.02820560836503,0.9966139534883722
33,43.0,3.1238743042671615,2.6870426170825605,31.980598608534322,0.9965395348837209
34,44.0,3.1264970852858482,2.7105864595238987,31.951432146204315,0.9963720930232558
35,45.0,3.1140029053420806,2.597246883692596,31.955778444236177,0.996260465116279
36,46.0,3.1211055940130965,2.7082657173376985,32.07555565949485,0.996213953488372
37,47.0,3.1095590798122066,2.713992989080751,32.07700845070423,0.9960744186046511
38,48.0,3.119320763430726,2.6620429649453348,32.03780999057493,0.9959348837209302
39,49.0,3.114044122641509,2.6468432229820755,32.071501226415094,0.9958046511627907
40,50.0,3.1178866886171215,2.69697907878175,32.00817958607714,0.9956465116279072
41,51.0,3.1244479307116104,2.6628398570889513,32.03022996254682,0.9955348837209304
42,52.0,3.1081621381267737,2.6683671011050145,32.05534578997162,0.9953953488372093
43,53.0,3.116443190298507,2.7125468756510265,32.07172817164179,0.995246511627907
44,54.0,3.1094389700374534,2.683806569675937,32.15812312734082,0.9951627906976745
45,55.0,3.1121998669201525,2.7263814031711022,32.15315408745247,0.9949860465116279
46,56.0,3.1168549056603774,2.6668823023254715,32.11586990566038,0.9948558139534885
47,57.0,3.1270934720908232,2.6686343373179757,32.127472658467354,0.9946418604651163
48,58.0,3.108469933523267,2.6558073775754982,32.16551396011396,0.9945302325581397
49,59.0,3.1138618139097747,2.711984632631579,32.1413917293233,0.9942604651162791
50,60.0,3.1034252067669175,2.6105025973026317,32.1099685150376,0.9940558139534885
51,61.0,3.1146096331138287,2.6907829270903103,32.03594694261523,0.9937953488372093
52,62.0,3.1055756720686367,2.6480264335812205,32.05279914204004,0.9936837209302327
53,63.0,3.0997779115710253,2.63104319307714,32.034783066792095,0.9935255813953487
54,64.0,3.1126838821328344,2.682021526643592,32.0224073900842,0.9933023255813954
55,65.0,3.117994510357815,2.6687916625056496,32.0229790960452,0.9930697674418605
56,66.0,3.1096007575757576,2.693075987474432,32.04412840909091,0.992986046511628
57,67.0,3.1198479096045197,2.639221845484934,32.090819774011294,0.9927720930232558
58,68.0,3.1146965625,2.663102449895221,31.960613051470585,0.9926139534883722
59,69.0,3.1046074881516588,2.630303753084076,32.2198727014218,0.9926046511627908
60,70.0,3.1148088160291443,2.6185201476092894,32.53035300546448,0.9925767441860466
61,71.0,3.105763348968105,2.7169090702514076,32.73997579737336,0.9925209302325583
62,72.0,3.1193063855421688,2.6538932756487488,32.712433178869325,0.9924279069767443
63,73.0,3.1134224976700837,2.6575506222807177,32.69765470643057,0.9922976744186048
64,74.0,3.1099775000000003,2.6446972316346864,32.182087269372694,0.9917767441860466
65,75.0,3.1121303871576957,2.669628838230406,32.13655136921624,0.9915813953488372
66,76.0,3.1114035586854465,2.6755438096798123,32.12713924882629,0.9913674418604651
67,77.0,3.110685259678943,2.683546069127951,32.12703097261568,0.9912
68,78.0,3.1112009962406018,2.6824196210770674,32.16061268796992,0.9910325581395351
69,79.0,3.1194372802197803,2.66072207028663,32.11495934065935,0.9908651162790698
70,80.0,3.114204413988658,2.65526301682155,32.16206550094518,0.9907162790697676
